,jd,old_date
891,117.32400,20220427_090000
892,117.33600,20220427_092000
893,117.34800,20220427_094000
894,117.36000,20220427_100000
895,117.37200,20220427_102000
896,117.38400,20220427_104000
897,117.39600,20220427_110000
898,117.40800,20220427_112000
899,117.42000,20220427_114000
900,117.43200,20220427_120000
901,117.44400,20220427_122000
902,117.45600,20220427_124000
903,117.46800,20220427_130000
904,117.48000,20220427_132000
905,117.49200,20220427_134000
906,117.50400,20220427_140000
907,117.51600,20220427_142000
908,117.52800,20220427_144000
909,117.54000,20220427_150000
910,117.55200,20220427_152000
911,117.56400,20220427_154000
912,117.57600,20220427_160000
913,117.58800,20220427_162000
914,117.60000,20220427_164000
915,117.61200,20220427_170000
916,117.62400,20220427_172000
917,117.63600,20220427_174000
918,117.64800,20220427_180000
919,117.66000,20220427_182000
920,117.67200,20220427_184000
921,117.68400,20220427_190000
922,117.69600,20220427_192000
923,117.70800,20220427_194000
924,117.72000,20220427_200000
925,117.73200,20220427_202000
926,117.74400,20220427_204000
927,117.75600,20220427_210000
928,117.76800,20220427_212000
929,117.78000,20220427_214000
930,117.79200,20220427_220000
931,117.80400,20220427_222000
932,117.81600,20220427_224000
933,117.82800,20220427_230000
934,117.84000,20220427_232000
935,117.85200,20220427_234000
936,118.00,20220428_000000
937,118.01200,20220428_002000
938,118.02400,20220428_004000
939,118.03600,20220428_010000
940,118.04800,20220428_012000
941,118.06000,20220428_014000
942,118.07200,20220428_020000
943,118.08400,20220428_022000
944,118.09600,20220428_024000
945,118.10800,20220428_030000
946,118.12000,20220428_032000
947,118.13200,20220428_034000
948,118.14400,20220428_040000
949,118.15600,20220428_042000
950,118.16800,20220428_044000
951,118.18000,20220428_050000
952,118.19200,20220428_052000
953,118.20400,20220428_054000
954,118.21600,20220428_060000
955,118.22800,20220428_062000
956,118.24000,20220428_064000
957,118.25200,20220428_070000
958,118.26400,20220428_072000
959,118.27600,20220428_074000
960,118.28800,20220428_080000
961,118.30000,20220428_082000
962,118.31200,20220428_084000
963,118.32400,20220428_090000
964,118.33600,20220428_092000
965,118.34800,20220428_094000
966,118.36000,20220428_100000
967,118.37200,20220428_102000
968,118.38400,20220428_104000
969,118.39600,20220428_110000
970,118.40800,20220428_112000
971,118.42000,20220428_114000
972,118.43200,20220428_120000
973,118.44400,20220428_122000
974,118.45600,20220428_124000
975,118.46800,20220428_130000
976,118.48000,20220428_132000
977,118.49200,20220428_134000
978,118.50400,20220428_140000
979,118.51600,20220428_142000
980,118.52800,20220428_144000
981,118.54000,20220428_150000
982,118.55200,20220428_152000
983,118.56400,20220428_154000
984,118.57600,20220428_160000
985,118.58800,20220428_162000
986,118.60000,20220428_164000
987,118.61200,20220428_170000
988,118.62400,20220428_172000
989,118.63600,20220428_174000
990,118.64800,20220428_180000
991,118.66000,20220428_182000
992,118.67200,20220428_184000
993,118.68400,20220428_190000
994,118.69600,20220428_192000
995,118.70800,20220428_194000
996,118.72000,20220428_200000
