,z0_s1,z0_s2,z0_s3,z0_s4
191,0.00019408651380855636,0.00013539602917865326,0.0003761770891084548,7.503922858690313e-06
192,0.0003914972565592484,0.0002682664093274888,0.0007459958256899389,0.0005122578424559783
193,0.00022167867884952146,0.0021227894192796643,0.000460658543748185,0.0017659684552332985
194,0.00010262510364950791,0.00047826351942091935,0.00011746650378987321,0.001873854452206501
195,1.5190188644272558e-10,1.6069151841593653e-10,1.0953107678248449e-05,2.6794316703605136e-13
196,0.000872886607742238,0.00040935511080196507,0.010034181542483585,3.760551753951432e-07
197,5.4894886592376534e-05,5.5039650184397864e-05,0.0009444142379917198,8.233752709608375e-05
198,0.00028705178478974326,5.7330563674252194e-05,0.004414580712294133,0.00011101846055198823
199,0.00019194236955130662,0.00031190014087486645,0.003361933957883035,0.00027744389374251944
200,0.00015818285283925325,2.8033621201007372e-05,6.964885378760391e-05,6.360393098492626e-05
201,0.00013971168728792966,3.215242887396604e-05,6.389076977899672e-05,1.0055665629608999e-05
202,0.00016106843095093165,0.00015741532459645716,0.0004961487879306433,0.0003722072817850217
203,6.111407974066165e-05,3.0469435968050404e-05,2.3678306267736923e-05,5.763040249742451e-05
204,7.048409922844383e-05,3.424550366665012e-05,7.025977400275919e-05,4.001722405759374e-05
205,2.9263384650829913e-05,0.00010935039539091633,8.423347184764654e-05,0.0002791070613636655
206,2.837428558909489e-05,8.70232975195546e-05,0.00022389029790630254,0.0003680973650377038
207,3.106844662535392e-05,7.960422260060049e-05,0.00010076860996752023,0.00011359061934860814
208,2.1270349846762536e-05,3.0962270641334816e-05,2.9005309300581404e-05,0.00012614083787929045
209,1.6853517751103796e-05,6.511889071908693e-05,9.136266564199112e-05,4.7948291818948084e-05
210,3.961750792073538e-05,0.00012163469848281077,0.00018908118306358175,0.0003823086389021151
211,3.329057206673305e-05,2.052412607234898e-05,3.0311822074050236e-05,3.878070468756449e-06
212,4.449048538522379e-05,0.00016197824032480646,0.00020809134714137121,0.00048641485838467775
213,0.00016640075952133277,9.721994942224676e-05,0.0006842202816466751,0.0009074743527771297
214,5.377441584341021e-05,0.0008701832857026242,0.0014650049600079054,0.002015634485492909
215,8.507348865698866e-05,0.00019073480825313404,0.00019713366685887853,0.0003448588097583842
216,6.446891139363436e-05,9.734488019099743e-05,0.0001747781624776701,0.0001745103406921215
217,0.00010141161808307534,5.885156651438892e-05,0.0001572102104892346,0.00037913182787737397
