,rho_bar_1,rho_bar_2,rho_bar_3
197,1.2714730341787486,1.2715380248992174,1.2693698604625143
198,1.2707254527769865,1.270785355389444,1.2703081891843524
199,1.2684752389265812,1.2685280728488793,1.2686270589341562
200,1.2670003535904186,1.26704889765156,1.2671460405572943
201,1.2677070192106374,1.2677539889873164,1.2678974081722716
202,1.2685675087717139,1.2686141875446004,1.2687346270121813
203,1.2695949326414868,1.2696407609937017,1.2698196870115495
204,1.2698663515271922,1.2699126843076438,1.270083019565292
205,1.2702114222631204,1.2702574358620338,1.2704438947053576
206,1.2703022821751844,1.2703479144269012,1.270482704834404
207,1.2703702781249553,1.270415951740252,1.2705824027513786
208,1.2705394443722098,1.270584390590291,1.2707683018885063
209,1.2711784824084398,1.2712235015795423,1.271358669834156
210,1.2713379427166336,1.2713833433785489,1.2715151563867517
211,1.2725648088620884,1.2726087102580346,1.2727957285429685
212,1.2732963955201075,1.273340768046047,1.2735249202262047
213,1.274063053415825,1.2741109278183358,1.2743105428948993
214,1.2735800328553784,1.2736291694492843,1.2737794872213117
215,1.2753774858130233,1.2754290003363897,1.2756123904073504
216,1.2766157720031848,1.2766676808686892,1.2767591483004683
