,alpha_s1,alpha_s2,alpha_s3,alpha_s4
6727,-48.05597971182396,-49.36841959386339,-51.55096227523125,39.608221289352535
6728,-67.69974017295146,-67.74853128303472,-70.01830946802787,18.32130580003966
6729,-113.70180503034716,-114.4007446794082,-113.06531737182112,-23.377327047814617
6730,132.46673779386668,133.232252562324,139.4053316747866,-137.89618655149405
6731,87.44970727557579,86.34842384701125,84.53711200996368,173.9211769087151
6732,84.84975255836702,83.9552503340477,82.18421178095474,171.98910820557523
6733,90.12086621656924,89.96237115293101,88.73076611399969,178.62800821193866
6734,98.31789758042986,98.62403986046652,97.18542588177516,-173.2918707666751
6735,97.15586782295,96.896974601086,93.9784701907547,-176.3246110664243
6736,86.08642486673321,85.7780148254489,85.01187625276343,175.4309307424353
6737,114.77524912235457,115.09025126589243,113.34753078315129,-159.13243273829454
6738,135.71086112134546,136.38607306059586,135.6662572506858,-138.73699799511576
6739,134.14414424668158,134.81294779433415,133.95751730447068,-140.02657675175558
6740,137.1513607086896,137.58089168212186,136.75142198133915,-137.44036349110462
6741,142.39351514411047,143.2446069818896,142.7385686877134,-131.56040886156848
6742,155.41794297497725,156.25389122964677,155.86329047393673,-117.741815838156
6743,153.28002535556823,154.1131872500885,153.97866282417797,-119.8131173287565
6744,145.24043082661197,145.89903736336183,145.5854098230264,-128.38960566329183
6745,132.73178337844726,133.3998047001163,132.68548850173403,-141.37534494467317
6746,141.0708297444831,141.7990434542237,141.114796313451,-133.15211101982737
6747,163.06499822801354,163.5870079877813,163.22454352400246,-109.88679536873468
6748,166.20497978638,166.60568945274795,165.91357231302914,-106.93079328011494
6749,166.75755409214457,167.51215249772704,166.98124613361264,-105.8519460922204
6750,173.63240918712958,174.05812805687094,173.84924938870424,-98.60904136405632
6751,169.80959291777387,170.93576720194997,171.41957281384546,-101.27915847174036
6752,164.92197548470853,165.77341719140466,165.91398775043527,-106.95052729030829
6753,139.18764604899957,139.84939235964293,138.8372961841899,-135.59985807086238
6754,128.2493539390538,129.02419767852697,127.52052165749832,-146.28361282185762
6755,123.73680042833033,124.82686669484342,122.87708522720052,-150.3929067615434
6756,121.92673078573084,122.76250751898286,120.87863913170644,-152.55482985704495
6757,134.20781964408366,135.29056076180112,134.7655972363547,-139.3775871932566
6758,144.0777697196487,145.31024128616195,145.2206015375911,-128.99413428148114
6759,131.801206201303,132.31189899396992,131.5507520653775,-142.2840887542098
6760,152.2852984302228,153.25634600998012,152.9911582491111,-121.00089293493843
6761,164.94722597620512,165.6004288301031,164.81727821303923,-107.82999725480528
6762,161.24074190146032,161.84731416929247,160.74019277871827,-112.22003701567628
6763,153.41825963694762,153.80369388405845,153.24943449518864,-120.75565667982636
6764,145.49279372570345,146.05044519349306,145.26635196211947,-129.1973060029641
6765,142.89781147923273,143.29244983190017,142.697468463108,-131.80204798141196
6766,141.39960430439834,141.77389232243422,141.20134435728218,-133.34201730047693
6767,140.96383612644038,141.2092135874797,140.7374670086295,-133.7544518052701
6768,141.64815954749668,141.814055870783,141.30232437292884,-133.3151680727392
6769,146.10211306701115,146.54330879731586,146.3641369522262,-127.98439142974388
6770,147.02255759141423,147.41968795939863,147.11396078491583,-127.24455156901476
6771,148.66017596924698,149.09159362563437,148.92646668151113,-125.20227086019976
6772,149.24419464902965,150.03949631844327,149.6338059147848,-124.44447883249094
6773,149.65314420784236,150.3711812275559,150.25051699909395,-123.65980590401598
6774,150.9389080065789,151.62180418104708,151.31463368536365,-122.74379958192668
6775,146.3400550481066,147.01228838136922,146.8448060619438,-127.2761757728557
6776,149.7880121613662,150.5418850017849,150.4021830764488,-123.42049581687228
6777,153.26521940932238,154.00770104763834,153.9484513839958,-119.93322706422336
6778,156.04674244132465,156.99671530770257,156.50280655049465,-117.20572722484818
6779,153.76931897192162,154.61214355290187,154.42650421622622,-119.50843515395428
6780,154.20505631766218,154.905717193358,154.64754629216358,-119.27540214740212
6781,151.1850398846524,152.07554793087877,151.9426798228012,-121.9875242200376
6782,150.8019019371252,151.52291741174523,151.4646965400839,-122.65701888029392
6783,151.41485038872366,152.19638920481856,152.03663428430914,-121.94360944487036
6784,148.5591321564064,149.19220259969077,148.92238434211365,-125.14734772396132
6785,147.24223574144085,147.93733874608563,147.7316270899366,-126.10342455109486
6786,148.16530384426068,148.83841633638488,148.72023957520855,-125.3585407311637
6787,146.18245064091428,146.70576715241208,146.40435575237427,-127.75955862592068
6788,151.14958342287184,151.8086379625596,151.71685547418892,-121.65319148183738
6789,150.68398371507342,151.26395101874525,151.2507150158468,-122.1316468452298
6790,153.57895910514458,154.342136705987,154.08195963983505,-119.0330069635857
6791,156.5073338635275,156.96526068882127,156.48594489743118,-116.77995967996692
6792,160.85284067341132,161.4027290996993,160.77609540570427,-112.03824437120416
6793,161.99452543758477,162.65324891727087,161.87984380970724,-111.33487021130937
6794,166.8510919028308,167.37979237474815,166.38741290090886,-106.14232906517772
6795,164.64501926957533,165.31760950356696,164.51399110814452,-107.70892951249635
6796,166.4619172546309,166.95242253199316,166.117419220844,-106.24980034247623
6797,172.21854996572185,172.81380900605097,172.00474363563535,-100.54500254678952
6798,176.31937267349198,176.82488126507158,176.0512160455528,-96.2461516834341
6799,169.624592035343,170.18898091670857,169.4327606269704,-103.01994970097972
6800,172.903009026476,173.22787391650056,172.60509669467254,-100.02845911278683
6801,175.31732922177764,175.49431358184458,174.79124650094596,-97.34982996530836
6802,170.14967909062062,170.61840639250428,170.11095399721086,-102.4739353466631
6803,157.2017271007888,157.74488977086912,158.1028222048869,-115.6962337894098
6804,160.37972163160674,161.04033907770187,160.8485906884536,-112.59529612494742
6805,160.98331986278734,161.36093198594514,161.0396294577179,-112.21776351964942
6806,166.09110403789194,166.3964724714598,165.84574050071714,-107.03209396312226
6807,166.3281138480383,166.89780932178311,166.31335900611998,-106.5700696227142
6808,161.1092514449027,161.57462975864442,161.28964286032897,-112.33423769186608
6809,157.07043240470577,157.84167600118113,157.75207748271532,-115.8217630333232
6810,158.43515230181333,159.40421087349628,159.02110596201106,-114.28616894762784
6811,157.8846536267799,158.59191270185838,158.64604198057094,-114.91593389936064
6812,154.89622317098085,155.13672495822502,155.603605977004,-118.5168390368828
6813,147.78918800008114,147.9600517309475,148.40534733855782,-126.20269472948009
6814,149.70519238886203,150.2331323486261,150.62313274865568,-123.91544523234626
6815,161.08696821704615,161.97498397294086,162.0395643445122,-111.1105863309206
6816,150.53554402404973,151.32758762896424,152.05897799563095,-121.78713411484624
6817,145.6446536651438,146.31203632222056,146.96900835379148,-127.33502101784896
6818,151.51941126937632,151.9984959417332,151.90734579036425,-122.25935491815564
6819,147.7255213436748,147.9653512068422,147.74008698261696,-126.87186183552296
6820,146.20690251463006,146.49993875483665,146.44700149503103,-128.18402132598305
6821,136.99454972197654,137.1906128632658,136.90952148708425,-137.16540246218446
6822,133.87608402990867,134.15048255739524,133.46484741752468,-140.45247148987812
6823,132.36590930039318,132.72455238209946,132.27169345080802,-141.5489443181486
6824,121.15832897538569,121.45399801884936,120.34181602976837,-152.7840978635845
6825,102.92350607279202,102.6268538781238,99.43060577718984,-172.65087705335984
6826,64.19783879502248,62.71542062687357,60.68097945164418,153.03466453151827
6827,78.37599016336004,77.51040932032146,75.0472502124953,166.43868717508622
6828,102.7468027131936,102.79452089243698,99.37551048884764,-173.35562246684208
6829,118.05833547937225,118.06480984102338,116.46176256813784,-156.8028268474866
6830,118.507859636935,118.85231467143576,118.02188837980336,-154.63113329310573
6831,122.29755253347194,122.2235393068418,120.50277970137518,-152.92252586089106
6832,110.7437100758885,110.6279099964168,108.4130145050506,-163.73647673727362
6833,104.06231415113862,103.6705020756297,100.58884988228598,-171.24049112261434
6834,103.58962682599466,102.96568904298236,100.00887394245744,-171.73794464464717
6835,101.95139352960626,101.5607578659374,98.45960579344828,-173.00939650049648
6836,98.23324936101518,97.94410133907168,95.23637793753748,-176.08058922711854
6837,91.73729533162232,91.3079385504549,88.85738842638597,177.5556556942234
6838,86.05800565413176,84.91380450290707,82.52327629765406,171.17388217068847
6839,66.89822841605233,64.58653245045049,62.21474481109502,153.9619861221293
6840,71.82302454282119,69.7014279304785,67.71831549671703,158.66502818792858
6841,67.76595478577153,66.06733079575862,64.01346573197522,155.26722977164735
6842,63.3835058184442,61.86671560877555,60.69227288604213,152.74998632317804
6843,62.26947722032438,60.679455955393706,58.69887674906875,150.90045253623416
6844,60.9549578743088,59.43006372016334,57.64322203527797,150.21487756666474
6845,60.12220771740926,58.70006147533986,57.17420529312091,149.81550008906413
6846,41.57044916126451,40.00443760557238,38.40544056363088,131.56701706219113
6847,41.55628275130854,40.17716613345098,38.58930863136062,131.8031818146623
6848,46.93424962580576,45.38567230253277,43.83007166257003,137.24266896239297
6849,48.5329545132702,47.00252153901031,45.33625542378003,138.37892005504946
6850,46.3457469252562,44.58562374328603,42.61000565468699,135.45763914355453
6851,43.54310537868584,41.91913052267519,40.11365721763645,132.84711457450726
6852,38.85890017671952,37.30530158081832,35.664493391464035,128.2817405893079
6853,33.11712376588814,31.61747305453563,30.24238635278055,122.6196491587033
6854,34.320029309177755,32.88505131669254,31.570678617065468,123.94545515590356
