,thetaV_sonic1,thetaV_sonic2,thetaV_sonic3,thetaV_sonic4
274,279.03952750657,278.7037471521035,278.75009689905113,278.9872677852151
275,279.0409938953976,278.69348676365126,278.71276611780587,278.9805782805858
276,279.0168246500897,278.6639791586632,278.68315590275506,278.96558569749584
277,279.0830323384901,278.7270511162328,278.76398372797104,279.0668722873393
278,279.19994727966235,278.8380518563782,278.8744703968392,279.1919723837073
279,279.25834166416195,278.9009449457647,278.93772538466106,279.27250831310084
280,279.25710879615224,278.87817473307655,278.8898796814438,279.25801891581494
281,279.3190795079659,278.93754613979115,278.9517137232893,279.3405560573278
282,279.3479210266866,278.98056073360675,279.0076446331327,279.52167690065335
283,279.37214077480047,279.0187842947458,279.06805733919487,279.6487461702269
284,279.376763630874,279.0347436938625,279.08874319918834,279.70819356997237
285,279.4361304018952,279.07821430434774,279.137539561725,279.77589214229414
286,279.4513267744522,279.08962640862273,279.15363369376115,279.801799502062
287,279.4553425939225,279.1115850724742,279.1729634966409,279.83855723342907
288,279.5859391461248,279.27287488789625,279.3431512452925,280.0112315885864
289,279.7619618068695,279.47841023942095,279.5554544607967,280.19875498918805
290,279.9678557804421,279.6819376655065,279.76897460258857,280.59473762416906
291,280.22259948902206,279.92885258415475,280.01519705786916,280.1249889262231
292,280.2666972141008,279.97484637503396,280.0658632999282,280.33294291368935
293,280.21673687382366,279.9084883434066,280.0028897457454,280.0847941713112
294,280.2339556355418,279.9124834570244,279.9872289307866,279.5661756323424
295,280.33902747875345,280.0163999417534,280.0775172259194,279.47437900239714
296,280.48076091763045,280.16590576487937,280.2390362692292,279.3353365620732
297,280.7366095279951,280.40670828117476,280.4805839564546,279.72202497146117
298,281.01871015045833,280.74237078444435,280.80640585343025,280.7150015056542
299,281.4278075771343,281.16990576832865,281.2624084814293,281.40494610266234
300,281.71951242681,281.46198216375905,281.5613466909424,281.78841798722556
301,282.107728525544,281.85244254530016,281.9315174789826,282.2353369536722
302,282.6082826392485,282.3697094414973,282.4112663096236,282.7694416899348
303,283.0302430128592,282.81348036876204,282.80128730318984,283.19524359519824
304,283.65074765463686,283.4995006092907,283.497444941023,283.77354555995396
305,284.25158823033155,284.1865393855912,284.20208597157233,284.2451696701824
306,284.6623823031362,284.6322684185097,284.7288743259396,285.1051708598371
307,284.88752110883144,284.90801219620926,285.0968097530041,284.9542752060574
308,283.24417593775854,285.5535853532411,285.8172831806168,285.5354692944708
309,283.2612516568285,285.84544658263883,286.1096095437525,286.1846731630797
310,283.2547665252198,286.01527434745714,286.25011072550325,286.5434181639869
311,283.22665175713746,284.64096813136644,284.8456486862941,285.5906295699985
312,283.6834212003678,283.5963499580049,283.7781316356663,284.36564631465586
